uploadID uploadRA uploadDEC uploadSearchID objID survey specObjID distance_arcmin fov_radius IAUName ra dec band nuv_exptime fuv_exptime fuv_mag_1 fuv_magerr nuv_mag nuv_magerr fuv_flux fuv_fluxerr nuv_flux nuv_fluxerr e_bv spectra fuv_fwhm_world nuv_fwhm_world ra_cent dec_cent minObsDate meanObsDate maxObsDate minObsMJD meanObsMJD maxObsMJD tilename tilenum_1 img subvis photoextractid nuv_flux_auto nuv_flux_aper_7 nuv_artifact fuv_flux_auto fuv_flux_aper_7 fuv_artifact X_IMAGE Y_IMAGE FLUX_AUTO FLUXERR_AUTO FLUX_APER A_IMAGE B_IMAGE THETA_IMAGE FWHM_IMAGE nuv_sex gl_sex gb_sex ra_sex dec_sex nuv_galex fuv_mag_2 ra_galex dec_galex gl_galex gb_galex tilenum_2
1 272.7181637476078 -31.68762597644765 1 6384109924012526852 AIS 0 0.0 0.4067533016204834 "GALEX J181052.3-314115" 272.7181637476078 -31.68762597644765 1 112.0 0.0 -999.0 -999.0 16.5597229 0.0296627935 -999.0 -999.0 863.1987 23.5772438 0.481635928 false -99.0 0.0018314675 272.24043 -31.70255 2011-06-23 2011-06-23 2011-06-23 55735.760509259264 55735.760509259264 55735.76180555555 AIS_375 50375 1 27 6384109924011474944 25.592411041259766 26.741695404052734 4 -99.0 -99.0 -999 1807.31005859375 9572.830078125 40.9793 0.645047 5.62046 1.24392 1.04697 -61.5753 4.26947021484375 16.048599243164062 0.325439772588 -6.09485543297 272.71795045 -31.6876037876 16.559722900390625 -999.0 272.7181637476078 -31.68762597644765 0.3255634307861328 -6.095141887664795 50375
2 270.9935603044985 -30.18151110448627 2 6388050646700921198 AIS 0 0.0 0.42260855436325073 "GALEX J180358.4-301053" 270.9935603044985 -30.18151110448627 1 108.0 0.0 -999.0 -999.0 17.05969 0.0376726277 -999.0 -999.0 544.6575 18.89381 0.67225945 false -99.0 0.00171323062 271.02673 -30.60315 2011-06-23 2011-06-23 2011-06-23 55735.750185185185 55735.750185185185 55735.751435185186 AIS_487 50487 1 95 6388050646699868160 16.148191452026367 16.465919494628906 17 -99.0 -99.0 -999 336.9859924316406 14461.900390625 25.6382 0.487037 7.01918 1.47151 1.03085 -66.0078 4.665200233459473 16.55780029296875 0.938065473812 -4.073874134 270.992976695 -30.1816929242 17.059690475463867 -999.0 270.9935603044985 -30.18151110448627 0.9385308623313904 -4.074342727661133 50487
3 270.6374103939343 -30.24773376690902 3 3736477099445195010 MIS 0 0.0 0.5489248633384705 "GALEX J180232.9-301451" 270.6374103939343 -30.24773376690902 1 485.65 0.0 -999.0 -999.0 16.8443985 0.02686153 -999.0 -999.0 664.1099 16.4263439 0.7329779 false -99.0 0.00289154775 270.04633 -30.45056 2011-07-02 2011-07-02 2011-07-02 55744.6478587963 55744.6478587963 55744.65347222222 MISGCEN_45202_0488 40661 7 -999 3736477099444142080 19.68975830078125 19.755531311035156 17 -99.0 -99.0 -999 837.2340087890625 15030.599609375 33.1466 0.545547 9.54023 1.54507 0.988972 -67.4191 4.837130069732666 16.278900146484375 0.729634872813 -3.8381384302 270.637385395 -30.2479155785 16.844398498535156 -999.0 270.6374103939343 -30.24773376690902 0.7298642992973328 -3.8381845951080322 40661
4 270.4947132568985 -30.04878130320984 4 3736477099445196550 MIS 0 0.0 0.5580770969390869 "GALEX J180158.7-300255" 270.4947132568985 -30.04878130320984 1 485.65 0.0 -999.0 -999.0 17.7537 0.0487823673 -999.0 -999.0 287.421478 12.9107733 0.7683954 false -99.0 0.00489333225 270.04633 -30.45056 2011-07-02 2011-07-02 2011-07-02 55744.6478587963 55744.6478587963 55744.65347222222 MISGCEN_45202_0488 40661 7 -999 3736477099444142080 8.521570205688477 8.60440444946289 1 -99.0 -99.0 -999 566.0269775390625 15524.900390625 18.205 0.437775 5.17989 1.41908 1.07639 -62.4221 4.747920036315918 16.929500579833984 0.842635620948 -3.63304000364 270.494659779 -30.0490483238 17.753700256347656 -999.0 270.4947132568985 -30.04878130320984 0.8429517149925232 -3.633065700531006 40661
6 267.9980125199253 -28.74438378073182 6 3735914149491769548 MIS 0 0.0 0.5382604598999023 "GALEX J175159.5-284439" 267.9980125199253 -28.74438378073182 1 867.699999999999 0.0 -999.0 -999.0 17.1534061 0.0133855874 -999.0 -999.0 499.616882 6.158071 2.39884353 false -99.0 0.00188647921 267.85889 -28.2202 2011-07-02 2011-07-02 2011-07-02 55744.579409722224 55744.579409722224 55744.58944444445 MISGCEN_33137_0488 40645 7 -999 3735914149490720768 14.812811851501465 15.016547203063965 25 -99.0 -99.0 -999 467.68798828125 21621.5 23.6583 0.467919 3.18922 3.02649 1.19733 -79.3751 9.11907958984375 16.645000457763672 0.883608668887 -1.09756557327 267.998584552 -28.7445799721 17.153406143188477 -999.0 267.9980125199253 -28.74438378073182 0.8835853338241577 -1.0971505641937256 40645
7 267.9981641650427 -28.74428383918393 7 3736195624468483023 MIS 0 0.0 0.5308396816253662 "GALEX J175159.5-284439" 267.9981641650427 -28.74428383918393 1 789.8 0.0 -999.0 -999.0 17.2263546 0.0165017433 -999.0 -999.0 467.1514 7.09835434 2.39884353 false -99.0 0.00272932532 268.59317 -28.64744 2011-07-21 2011-07-21 2011-07-21 55763.19782407407 55763.19782407407 55763.20695601853 MISGCEN_33136_0488o 40653 7 -999 3736195624467431424 13.850264549255371 13.89980697631836 153 -99.0 -99.0 -999 467.68798828125 21621.5 23.6583 0.467919 3.18922 3.02649 1.19733 -79.3751 9.11907958984375 16.645000457763672 0.883608668887 -1.09756557327 267.998584552 -28.7445799721 17.226354598999023 -999.0 267.9981641650427 -28.74428383918393 0.8837391138076782 -1.0972141027450562 40653
8 267.3268918180465 -29.02017435006282 8 6388050633816018085 AIS 0 0.0 0.0723794624209404 "GALEX J174918.4-290112" 267.3268918180465 -29.02017435006282 1 151.05 0.0 -999.0 -999.0 16.79717 0.0291403923 -999.0 -999.0 693.634949 18.61215 10.4484425 false -99.0 0.00198490033 267.37066 -29.08161 2011-06-07 2011-06-07 2011-06-07 55719.045474537044 55719.045474537044 55719.04722222222 AIS_487 50487 1 83 6388050633814966272 20.565126419067383 21.579927444458008 529 -99.0 -99.0 -999 1757.030029296875 22494.5 35.0392 0.591717 10.8565 1.35207 1.04805 -74.2776 4.453080177307129 16.218599319458008 0.346388234119 -0.733923577723 267.327751679 -29.0197897517 16.797170639038086 -999.0 267.3268918180465 -29.02017435006282 0.3457355499267578 -0.7335924506187439 50487
13 269.6350459223335 -27.46702545152852 13 6388050612341181311 AIS 0 0.0 0.20708400011062622 "GALEX J175832.4-272801" 269.6350459223335 -27.46702545152852 1 249.0 0.0 -999.0 -999.0 17.9438324 0.0422053 -999.0 -999.0 241.249649 9.375704 2.22898126 false -99.0 0.0016708324 269.40381 -27.49532 2011-06-06 2011-06-30 2011-07-24 55718.77783564814 55742.694502314815 55766.632106481484 AIS_487 50487 1 63 6388050612340129792 7.152652263641357 7.468682765960693 0 -99.0 -99.0 -999 2561.530029296875 20174.19921875 14.1699 0.359884 1.50824 1.89221 1.39243 -84.4246 9.001179695129395 17.20159912109375 2.71522872404 -1.70017625237 269.635134361 -27.4669854074 17.943832397460938 -999.0 269.6350459223335 -27.46702545152852 2.7152175903320312 -1.700247049331665 50487
14 276.3618810873868 -28.59930850411175 14 6379887819762959537 AIS 0 0.0 0.40344807505607605 "GALEX J182526.8-283557" 276.3618810873868 -28.59930850411175 1 97.1 0.0 -999.0 -999.0 16.0565834 0.0230143815 -999.0 -999.0 1372.03955 29.0760975 0.399433672 false -99.0 0.00200196262 276.69476 -28.32159 2011-06-14 2011-06-14 2011-06-14 55726.57885416666 55726.57885416666 55726.579976851855 AIS_255 50255 1 46 6379887819761909760 40.6786994934082 41.44362258911133 0 -99.0 -99.0 -999 300.42498779296875 6249.0 97.0691 0.916803 21.0845 1.6342 1.14239 -60.9517 5.492809772491455 15.112299919128418 4.54970117653 -7.46025881963 276.361330478 -28.599232662 16.056583404541016 -999.0 276.3618810873868 -28.59930850411175 4.549910068511963 -7.460845470428467 50255
16 264.1064749677826 -22.77165920188598 16 6383371116623169882 AIS 0 0.0 0.3180001974105835 "GALEX J173625.5-224617" 264.1064749677826 -22.77165920188598 1 106.0 0.0 -999.0 -999.0 15.7422323 0.0170180369 -999.0 -999.0 1832.765 28.72013 0.8565776 false -99.0 0.0016615825 263.96347 -23.0611 2011-07-15 2011-07-15 2011-07-15 55757.390763888885 55757.390763888885 55757.39199074073 AIS_354 50354 1 87 6383371116622118912 54.338443756103516 55.15193557739258 0 -99.0 -99.0 -999 1260.7900390625 36311.30078125 87.9914 1.00172 22.0766 1.45543 1.13586 -42.5917 4.478409767150879 15.218899726867676 4.14955661827 5.01023657598 264.106156965 -22.7713724073 15.742232322692871 -999.0 264.1064749677826 -22.77165920188598 4.149540901184082 5.0097150802612305 50354
